Título_Título,Desenvolvedor_Desenvolvedor,Lanç. Original_Lanç. Original,Lançamento_Lançamento,Tamanho Arquivo_Tamanho Arquivo,Ref._Ref.
2020 Super Baseball,SNK,1991,08/Fev/2018,97 MB,[3369]
3 Count Bout,SNK,1993,11/Out/2018,164 MB,[3370]
Aero Fighters 2,Video System,1994,03/Ago/2017,93 MB,[3371]
Aero Fighters 3,Video System,1995,15/Mar/2018,108 MB,[3372]
Aggressors of Dark Kombat,ADK,1994,13/Set/2018,102 MB,[3373]
Alpha Mission II,SNK,1991,06/Abr/2017,76 MB,[3374]
Art of Fighting,SNK,1992,21/Set/2017,102 MB,[3375]
Art of Fighting 2,SNK,1994,11/Jan/2018,109 MB,[3376]
Art of Fighting 3: The Path of the Warrior,SNK,1996,02/Nov/2017,146 MB,[3377]
Basebal Stars 2,SNK,1992,21/Mar/2019,125 MB,[3378]
Baseball Stars Professional,SNK,1990,17/Mai/2018,101 MB,[3379]
Blazing Star,Yumekobo,1998,02/Mai/2017,96 MB,[3380]
Blue's Journey,Alpha Denshi,1991,07/Set/2017,80 MB,[3381]
Burning Fight,SNK,1991,28/Set/2017,77 MB,[3382]
Crossed Swords,Alpha Denshi,1990,23/Ago/2018,103 MB,[3383]
Cyber-Lip,SNK,1990,20/Set/2018,109 MB,[3384]
Fatal Fury: King of Fighters,SNK,1991,20/Abr/2017,80 MB,[3385]
Fatal Fury 2,SNK,1992,22/Jun/2017,85 MB,[3386]
Fatal Fury 3: Road to the Final Victory,SNK,1995,15/Fev/2018,101 MB,[3387]
Fatal Fury Special,SNK,1993,13/Jun/2017,110 MB,[3388]
Football Frenzy,SNK,1992,30/Ago/2018,112 MB,[3389]
Galaxy Fight: Universal Warriors,Sunsoft,1995,18/Mai/2017,98 MB,[3390]
Garou: Mark of the Wolves,SNK,1999,11/Mai/2017,147 MB,[3391]
Ghost Pilots,SNK,1991,26/Abr/2018,82 MB,[3392]
Gururin,Face,1994,12/Abr/2018,111 MB,[3393]
Karnov's Revenge,Data East,1994,16/Nov/2017,108 MB,[3394]
The King of Fighters '94,SNK,1994,16/Mar/2017,109 MB,[3395]
The King of Fighters '95,SNK,1995,12/Out/2017,148 MB,[3396]
The King of Fighters '96,SNK,1996,28/Dez/2017,109 MB,[3397]
The King of Fighters '97,SNK,1997,26/Jul/2018,129 MB,[3398]
The King of Fighters '98: The Slugfest,SNK,1998,09/Mar/2017,193 MB,[3399]
The King of Fighters '99: Millennium Battle,SNK,1999,25/Mai/2017,128 MB,[3400]
The King of Fighters 2000,SNK,2000,10/Ago/2017,131 MB,[3401]
The King of Fighters 2001,SNK,2001,27/Set/2018,149 MB,[3402]
The King of Fighters 2002: Challenge to Ultimate Battle,SNK,2002,27/Dez/2018,142 MB,[3403]
The King of Fighters 2003,SNK,2003,21/Fev/2019,135 MB,[3404]
King of the Monsters,SNK,1991,04/Jan/2018,80 MB,[3405]
King of the Monsters 2: The Next Thing,SNK,1992,22/Nov/2018,179 MB,[3406]
Kizuna Encounter,SNK,1996,10/Jan/2019,105 MB,[3407]
The Last Blade,SNK,1997,14/Dez/2017,109 MB,[3408]
The Last Blade 2,SNK,1998,21/Jun/2018,130 MB,[3409]
Last Resort,SNK,1992,01/Jun/2017,85 MB,[3410]
League Bowling,SNK,1990,19/Jul/2018,84 MB,[3411]
Magical Drop II,Data East,1996,29/Jun/2017,86 MB,[3412]
Magical Drop III,Data East,1997,22/Fev/2018,103 MB,[3413]
Magician Lord,Alpha Denshi,1990,17/Ago/2017,102 MB,[3414]
Metal Slug,SNK,1996,30/Mar/2017,100 MB,[3415]
Metal Slug 2,SNK,1998,06/Jul/2017,94 MB,[3416]
Metal Slug 3,SNK,2000,03/Mar/2017,181 MB,[3417]
Metal Slug 4,SNK,2002,09/Ago/2018,145 MB,[3418]
Metal Slug 5,SNK,2003,13/Dez/2018,110 MB,[3419]
Metal Slug X,SNK,1999,05/Out/2017,108 MB,[3420]
Money Puzzle Exchanger,Face,1997,28/Jun/2018,96 MB,[3421]
Mutation Nation,SNK,1991,26/Out/2017,82 MB,[3422]
NAM-1975,SNK,1990,09/Mar/2017,88 MB,[3423]
Neo Geo Cup '98: The Road to the Victory,SNK,1998,29/Nov/2018,118 MB,[3424]
Neo Turf Masters,SNK,1996,23/Mar/2017,101 MB,[3425]
Ninja Combat,Alpha Denshi,1990,31/Mai/2018,80 MB,[3426]
Ninja Commando,Alpha Denshi,1992,06/Set/2018,82 MB,[3427]
Ninja Master's,ADK,1996,17/Jan/2019,139 MB,[3428]
Over Top,ADK,1996,27/Abr/2017,80 MB,[3429]
Pleasure Goal: 5 on 5 Mini Soccer,Saurus,1996,01/Nov/2018,90 MB,[3430]
Power Spikes II,Video System,1994,18/Jan/2018,85 MB,[3431]
Prehistoric Isle 2,Yumekobo,1999,02/Ago/2018,119 MB,[3432]
Pulstar,Aicom,1995,21/Dez/2017,93 MB,[3433]
Puzzle Bobble,Taito,1994,20/Dez/2018,77 MB,[3434]
Puzzle Bobble 2,Taito,1995,07/Fev/2019,93 MB,[3435]
Puzzled,SNK,1990,24/Ago/2017,86 MB,[3436]
Ragnagard,Saurus,1996,03/Jan/2019,126 MB,[3437]
Real Bout Fatal Fury,SNK,1995,08/Mar/2018,114 MB,[3438]
Real Bout Fatal Fury Special,SNK,1997,19/Abr/2018,113 MB,[3439]
Real Bout Fatal Fury 2: The Newcomers,SNK,1998,16/Ago/2018,124 MB,[3440]
Riding Hero,SNK,1990,07/Jun/2018,113 MB,[3441]
Robo Army,SNK,1991,19/Out/2017,83 MB,[3442]
Samurai Shodown,SNK,1993,20/Jul/2017,96 MB,[3443]
Samurai Shodown II,SNK,1994,01/Fev/2018,101 MB,[3444]
Samurai Shodown III,SNK,1995,05/Abr/2018,124 MB,[3445]
Samurai Shodown IV: Amakusa's Revenge,SNK,1996,13/Abr/2017,115 MB,[3446]
Samurai Shodown V,SNK,2003,05/Jul/2018,150 MB,[3447]
Samurai Shodown V Special,SNK,2004,18/Abr/2019,161 MB,[3448]
Savage Reign,SNK,1995,25/Out/2018,107 MB,[3449]
Sengoku,SNK,1991,15/Jun/2017,77 MB,[3450]
Sengoku 2,SNK,1993,01/Mar/2018,87 MB,[3451]
Sengoku 3,SNK,2001,29/Mar/2018,109 MB,[3452]
Shock Troopers,Saurus,1997,09/Mar/2017,128 MB,[3453]
Shock Troopers: 2nd Squad,Saurus,1999,08/Jun/2017,135 MB,[3454]
Soccer Brawl,SNK,1992,22/Nov/2017,79 MB,[3455]
Spin Master,Data East,1993,14/Set/2017,84 MB,[3456]
Stakes Winner,Saurus,1995,02/Mai/2018,91 MB,[3457]
Stakes Winner 2,Saurus,1996,15/Nov/2018,115 MB,[3458]
Street Hoop,Data East,1994,09/Nov/2017,81 MB,[3459]
Strikers 1945 Plus,Psikyo,1999,18/Out/2018,150 MB,[3460]
Super Sidekicks,SNK,1992,27/Jul/2017,93 MB,[3461]
Super Sidekicks 2: The World Championship,SNK,1994,10/Mai/2018,120 MB,[3462]
Super Sidekicks 3: The Next Glory,SNK,1995,14/Jun/2018,143 MB,[3463]
The Super Spy,SNK,1990,12/Jul/2018,78 MB,[3464]
The Ultimate 11: SNK Football Championship,SNK,1996,28/Fev/2019,109 MB,[3465]
Thrash Rally,Alpha Denshi,1991,08/Nov/2018,99 MB,[3466]
Top Hunter: Roddy & Cathy,SNK,1994,07/Dez/2017,97 MB,[3467]
Top Player's Golf,SNK,1990,24/Mai/2018,104 MB,[3468]
Twinkle Star Sprites,ADK,1996,06/Dez/2018,110 MB,[3469]
Waku Waku 7,Sunsoft,1996,09/Mar/2017,183 MB,[3470]
World Heroes,Alpha Denshi,1992,30/Nov/2017,77 MB,[3471]
World Heroes 2,ADK,1993,25/Jan/2018,87 MB,[3472]
World Heroes 2 Jet,ADK,1994,22/Mar/2018,94 MB,[3473]
World Heroes Perfect,ADK,1995,09/Mar/2017,140 MB,[3474]
Zed Blade,NMK,1994,31/Ago/2017,74 MB,[3475]
Zupapa!,SNK,2001,04/Out/2018,85 MB,[3476]
